ID,Y
1,289.524827
2,-725.989519
3,217.8622382
4,294.3943879
5,295.7797883
6,266.3986435
7,198.2397348
8,93.29113603
9,290.140564
10,277.9251469
11,286.864659
12,293.8420772
13,310.4520816
14,210.4964895
15,212.3209068
16,-2453.861114
17,283.1474761
18,109.5391473
19,-81.02352464
20,282.116618
21,-201.6834086
22,-54.91816201
23,-1470.847947
24,301.858712
25,297.5432465
26,271.90295
27,288.9931069
28,41.67244201
29,301.6424191
30,249.6677964
31,-540.341032
32,297.9909063
33,291.8987174
34,107.1911309
35,191.8630206
36,290.261994
37,-3306.442097
38,-3499.116292
39,221.6474054
40,29.08272276
41,291.5830401
42,191.8468786
43,283.4018783
44,-5354.592496
45,-17749.81421
46,92.17793358
47,281.2279485
48,-2007.558617
49,-7114.399773
50,280.2958858
51,226.2165098
52,286.3859375
53,-269.9618284
54,182.6234527
55,299.4418233
56,283.5812079
57,182.4511997
58,294.8673647
59,296.0473393
60,140.7574403
61,250.8279695
62,53.60074905
63,151.2211526
64,-242.4683487
65,300.0386491
66,284.9801986
67,-2264.990671
68,-309.5281566
69,253.0794456
70,278.4618856
71,260.6705586
72,261.8572541
73,245.4148505
74,-785.2933016
75,-1061.074522
76,-5255.291933
77,222.985196
78,249.4961434
79,299.9750576
80,254.952218
81,289.7379496
82,-419.6911948
83,-1428.197423
84,-4747.790088
85,152.1900572
86,279.8775627
87,274.3347436
88,-6476.248316
89,-289.7752271
90,245.0765602
91,166.5548904
92,293.7260551
93,298.702073
94,213.0149167
95,-36.7560802
96,247.0899998
97,288.9725669
98,-192.6938677
99,-2123.757158
100,296.4068443
101,291.8596616
102,279.1120947
103,-520.1198964
104,253.6966392
105,-709.4275383
106,294.0194491
107,225.4192792
108,300.8180606
109,-6234.148954
110,295.3049243
111,292.1459907
112,114.7643736
113,303.4111722
114,233.1418285
115,302.300613
116,305.5286631
117,293.0635237
118,256.8903256
119,-1012.483217
120,-1453.740273
121,95.46450045
122,292.3587299
123,-1564.341526
124,256.1948787
125,230.3497723
126,298.5137945
127,289.4957995
128,195.6606939
129,270.8201962
131,185.0949157
132,306.9515839
133,152.5106278
135,222.1796929
136,70.10376385
137,183.5726658
138,-3678.331668
139,247.0169016
140,298.6289625
141,197.2212378
142,-2061.758928
143,303.7724309
144,296.2718107
145,207.996426
146,297.2633488
147,270.9441558
148,291.998431
149,-22954.26143
150,287.4144733
151,190.5728206
152,75.27773131
153,45.00495844
154,187.828404
155,285.1034179
156,-999.5355257
157,-995.7267775
158,249.8179557
159,285.9700365
160,293.307857
161,295.3454029
162,295.4878881
163,-148.0393527
164,-2427.248762
165,239.6406384
166,261.0144228
167,256.3033401
168,286.0990437
169,-5.539331131
170,21.3713917
171,268.2706479
172,-410.5173279
173,295.8737165
174,-220.0338833
175,296.1946675
176,297.2966109
177,-1045.88081
178,-1540.120322
179,-1949.603067
180,-4456.667136
181,212.7934125
182,292.7160519
183,285.07811
184,285.7121653
185,249.840975
186,224.7232844
187,-811.8269794
188,300.6125401
189,121.8259994
190,106.2423502
191,38.91516357
192,296.2582934
193,294.9709854
194,272.6694182
195,252.1494625
196,-442.519808
197,249.789652
198,-192.6200926
199,133.3294231
200,-415.7696566
201,-2047.797469
202,295.8855565
203,-1789.964674
204,-5074.686793
205,275.7197774
206,301.4847211
207,265.0714083
208,295.109227
209,-68.5761594
210,274.5854405
211,-2053.786611
212,245.8920931
213,287.1052135
214,-698.8077337
215,253.2742535
216,-22618.6005
217,126.9088809
218,290.1198579
219,296.8995961
220,277.3425252
221,-913.2143788
222,-119.0377404
223,-937.0613131
224,266.6414529
225,-128.3552093
226,296.2335664
227,231.1449445
228,211.8904109
229,266.3780401
230,261.9518646
231,-562.0429619
233,294.8466984
234,102.3695243
235,-2622.142269
236,274.7384669
237,298.0569669
238,257.2609483
239,295.5524324
240,-2646.359706
241,303.5506455
242,197.9424213
243,7.487751663
244,294.6680579
245,173.5097775
246,161.9622767
247,196.6046361
248,295.5748108
249,287.1156194
250,294.3815505
251,288.631911
252,-13.65781973
253,300.0147646
254,-101.8055182
255,136.9617613
256,298.1525208
257,300.2008748
258,-3155.609384
259,292.2678584
260,274.8410663
261,295.6331699
262,299.89438
263,-943.2690395
264,122.0237854
265,-333.4797968
266,231.1954934
267,295.8124793
268,131.1050073
269,-1983.131034
271,286.9901553
272,273.2176344
273,292.8493428
274,-597.7161219
275,-1860.162973
276,291.6588688
277,210.6545592
278,21.08973755
279,281.533117
280,252.2666433
281,311.9794064
282,260.7416687
283,202.3528643
284,273.4726066
285,268.7346417
286,177.4473502
287,285.8153744
288,-3927.459708
289,277.4163757
290,-3.14780918
291,276.9618718
292,162.3667298
